scenario,urgency,believability,excuse
work,medium,low,My dog unplugged my router mid-upload.
work,medium,low,I was halfway done but spilled tea all over my notes.
work,medium,low,I joined the wrong Zoom meeting and stayed there awkwardly.
work,medium,low,"I thought the update was due tomorrow, not today."
work,medium,low,I had to take my neighbor's cat to the vet - long story.
work,medium,low,"I had the flu, or maybe it was just a bad sandwich."
work,medium,low,The elevator was stuck for a while and I couldn't leave.
work,medium,low,My phone alarm didn't go off because I set it for PM.
work,medium,medium,"Missed a connecting bus, got delayed."
work,medium,medium,Small family emergency kept me from attending.
work,medium,medium,Overslept after pulling an all-nighter.
work,medium,medium,Had a minor sprain on my way to work.
work,medium,medium,Got stuck in traffic after a last-minute errand.
work,medium,medium,"Power cut happened mid-task, and autosave failed me."
work,medium,medium,I was multitasking and mixed up two assignments.
work,medium,medium,A minor health issue made it hard to focus.
work,medium,medium,My task manager app crashed and I lost all reminders.
work,medium,medium,"Had to help a teammate urgently, and that took priority."
work,medium,medium,Confused two deadlines and prioritized the wrong one.
work,medium,medium,I got looped into an unexpected client call that ran long.
work,medium,medium,Had to handle unexpected paperwork at home.
work,medium,medium,Wi-Fi dipped right when I needed it most.
work,medium,medium,"Laptop issues, couldn't submit the project."
